INDEX,CARD,CLA1,CLA2,SCA1,SCA2,SCA3,PUR1,PUR2,PUR3,CUL1,CUL2,CUL3,USA1,USA2,USA3,ADD1,ADD2,ADD3,PRICE,Y,Cluster
55,14,1,0,0,0,1,0,0,1,0,1,0,1,0,0,0,1,0,2,3,0
55,15,0,1,0,1,0,0,1,0,1,0,0,0,0,1,0,1,0,1,7,0
55,16,1,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,3,0
55,17,0,1,1,0,0,0,1,0,0,1,0,1,0,0,0,0,1,3,4,0
55,18,0,1,0,0,1,1,0,0,0,1,0,0,1,0,1,0,0,1,4,0
57,1,1,0,0,1,0,0,1,0,0,1,0,0,1,0,1,0,0,2,6,1
57,2,1,0,0,0,1,0,1,0,1,0,0,0,1,0,0,1,0,3,4,1
57,3,1,0,0,0,1,0,1,0,0,0,1,1,0,0,0,0,1,1,7,1
57,4,1,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,1,3,9,1
57,5,0,1,0,1,0,1,0,0,0,0,1,1,0,0,0,1,0,2,3,1
57,6,1,0,1,0,0,1,0,0,0,0,1,0,1,0,0,1,0,3,9,1
57,7,1,0,1,0,0,0,1,0,0,0,1,0,0,1,1,0,0,2,7,1
57,8,0,1,1,0,0,0,0,1,1,0,0,0,1,0,0,0,1,2,7,1
57,9,1,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,1,2,5,1
57,10,0,1,0,0,1,0,0,1,0,0,1,0,0,1,1,0,0,3,1,1
57,11,1,0,1,0,0,0,0,1,0,1,0,0,0,1,0,1,0,1,3,1
57,12,1,0,0,1,0,0,0,1,1,0,0,1,0,0,1,0,0,3,5,1
57,13,1,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,1,1,5,1
57,14,1,0,0,0,1,0,0,1,0,1,0,1,0,0,0,1,0,2,9,1
57,15,0,1,0,1,0,0,1,0,1,0,0,0,0,1,0,1,0,1,7,1
57,16,1,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,2,1
57,17,0,1,1,0,0,0,1,0,0,1,0,1,0,0,0,0,1,3,9,1
57,18,0,1,0,0,1,1,0,0,0,1,0,0,1,0,1,0,0,1,6,1
58,1,1,0,0,1,0,0,1,0,0,1,0,0,1,0,1,0,0,2,6,1
58,2,1,0,0,0,1,0,1,0,1,0,0,0,1,0,0,1,0,3,10,1
58,3,1,0,0,0,1,0,1,0,0,0,1,1,0,0,0,0,1,1,8,1
58,4,1,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,1,3,10,1
58,5,0,1,0,1,0,1,0,0,0,0,1,1,0,0,0,1,0,2,8,1
58,6,1,0,1,0,0,1,0,0,0,0,1,0,1,0,0,1,0,3,9,1
58,7,1,0,1,0,0,0,1,0,0,0,1,0,0,1,1,0,0,2,7,1
58,8,0,1,1,0,0,0,0,1,1,0,0,0,1,0,0,0,1,2,10,1
58,9,1,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,1,2,10,1
58,10,0,1,0,0,1,0,0,1,0,0,1,0,0,1,1,0,0,3,9,1
58,11,1,0,1,0,0,0,0,1,0,1,0,0,0,1,0,1,0,1,10,1
58,12,1,0,0,1,0,0,0,1,1,0,0,1,0,0,1,0,0,3,5,1
58,13,1,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,1,1,10,1
58,14,1,0,0,0,1,0,0,1,0,1,0,1,0,0,0,1,0,2,8,1
58,15,0,1,0,1,0,0,1,0,1,0,0,0,0,1,0,1,0,1,10,1
58,16,1,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,6,1
