INDEX,CARD,CLA1,CLA2,SCA1,SCA2,SCA3,PUR1,PUR2,PUR3,CUL1,CUL2,CUL3,USA1,USA2,USA3,ADD1,ADD2,ADD3,PRICE,Y
63,17,0,1,1,0,0,0,1,0,0,1,0,1,0,0,0,0,1,200000,6
63,18,0,1,0,0,1,1,0,0,0,1,0,0,1,0,1,0,0,100000,5
64,1,1,0,0,1,0,0,1,0,0,1,0,0,1,0,1,0,0,150000,4
64,2,1,0,0,0,1,0,1,0,1,0,0,0,1,0,0,1,0,200000,3
64,3,1,0,0,0,1,0,1,0,0,0,1,1,0,0,0,0,1,100000,4
64,4,1,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,1,200000,2
64,5,0,1,0,1,0,1,0,0,0,0,1,1,0,0,0,1,0,150000,4
64,6,1,0,1,0,0,1,0,0,0,0,1,0,1,0,0,1,0,200000,2
64,7,1,0,1,0,0,0,1,0,0,0,1,0,0,1,1,0,0,150000,4
64,8,0,1,1,0,0,0,0,1,1,0,0,0,1,0,0,0,1,150000,3
64,9,1,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,1,150000,4
64,10,0,1,0,0,1,0,0,1,0,0,1,0,0,1,1,0,0,200000,2
64,11,1,0,1,0,0,0,0,1,0,1,0,0,0,1,0,1,0,100000,4
64,12,1,0,0,1,0,0,0,1,1,0,0,1,0,0,1,0,0,200000,3
64,13,1,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,1,100000,5
64,14,1,0,0,0,1,0,0,1,0,1,0,1,0,0,0,1,0,150000,4
64,15,0,1,0,1,0,0,1,0,1,0,0,0,0,1,0,1,0,100000,5
64,16,1,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,100000,4
64,17,0,1,1,0,0,0,1,0,0,1,0,1,0,0,0,0,1,200000,2
64,18,0,1,0,0,1,1,0,0,0,1,0,0,1,0,1,0,0,100000,4
68,1,1,0,0,1,0,0,1,0,0,1,0,0,1,0,1,0,0,150000,0
68,2,1,0,0,0,1,0,1,0,1,0,0,0,1,0,0,1,0,200000,10
68,3,1,0,0,0,1,0,1,0,0,0,1,1,0,0,0,0,1,100000,10
68,4,1,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,1,200000,0
68,5,0,1,0,1,0,1,0,0,0,0,1,1,0,0,0,1,0,150000,10
68,6,1,0,1,0,0,1,0,0,0,0,1,0,1,0,0,1,0,200000,10
68,7,1,0,1,0,0,0,1,0,0,0,1,0,0,1,1,0,0,150000,10
68,8,0,1,1,0,0,0,0,1,1,0,0,0,1,0,0,0,1,150000,0
68,9,1,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,1,150000,10
68,10,0,1,0,0,1,0,0,1,0,0,1,0,0,1,1,0,0,200000,10
68,11,1,0,1,0,0,0,0,1,0,1,0,0,0,1,0,1,0,100000,0
68,12,1,0,0,1,0,0,0,1,1,0,0,1,0,0,1,0,0,200000,0
68,13,1,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,1,100000,0
68,14,1,0,0,0,1,0,0,1,0,1,0,1,0,0,0,1,0,150000,0
68,15,0,1,0,1,0,0,1,0,1,0,0,0,0,1,0,1,0,100000,0
68,16,1,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,100000,0
68,17,0,1,1,0,0,0,1,0,0,1,0,1,0,0,0,0,1,200000,0
68,18,0,1,0,0,1,1,0,0,0,1,0,0,1,0,1,0,0,100000,10
71,1,1,0,0,1,0,0,1,0,0,1,0,0,1,0,1,0,0,150000,5
71,2,1,0,0,0,1,0,1,0,1,0,0,0,1,0,0,1,0,200000,5
71,3,1,0,0,0,1,0,1,0,0,0,1,1,0,0,0,0,1,100000,2
71,4,1,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,1,200000,1
71,5,0,1,0,1,0,1,0,0,0,0,1,1,0,0,0,1,0,150000,2
71,6,1,0,1,0,0,1,0,0,0,0,1,0,1,0,0,1,0,200000,6
71,7,1,0,1,0,0,0,1,0,0,0,1,0,0,1,1,0,0,150000,6
71,8,0,1,1,0,0,0,0,1,1,0,0,0,1,0,0,0,1,150000,5
